scenario,horizon,model,split,RMSE,MAE,MAPE
Historical,t+1,LinearRegression,validation,1924.8175238188164,1381.8779296875,2.078695058822632
Historical,t+1,LinearRegression,test,2386.9539166058485,1875.87744140625,1.8489370346069336
Historical,t+1,RandomForest,validation,12551.552039924967,6735.500844963966,8.140486487502884
Historical,t+1,RandomForest,test,40416.42721051981,38730.50305667004,36.85017004998913
Historical,t+1,LSTM,validation,10710.568238893771,5629.70263671875,6.851247787475586
Historical,t+1,LSTM,test,35637.12042239103,33829.98046875,32.059364318847656
Historical,t+30,LinearRegression,validation,18514.152856666165,15360.10546875,20.626630783081055
Historical,t+30,LinearRegression,test,26804.177584846733,25131.97265625,24.247074127197266
Historical,t+30,RandomForest,validation,27845.158007279348,23182.214784298336,30.199986517762888
Historical,t+30,RandomForest,test,55745.828466101855,54483.56238406947,52.86033945949745
Historical,t+30,LSTM,validation,25082.26975375235,21108.5546875,27.585002899169922
Historical,t+30,LSTM,test,49581.64563626343,48123.9453125,46.502506256103516
Sentiment,t+1,LinearRegression,validation,33747.31894536216,29997.169921875,42.963932037353516
Sentiment,t+1,LinearRegression,test,62630.89384640778,61551.67578125,59.35466766357422
Sentiment,t+1,RandomForest,validation,33790.59363316013,30015.160978377324,42.95588185629896
Sentiment,t+1,RandomForest,test,62446.6429669228,61364.18379088022,59.16975255435657
Sentiment,t+1,LSTM,validation,33585.008083965084,30333.26171875,43.71458053588867
Sentiment,t+1,LSTM,test,60424.425259989024,59305.0703125,57.13894271850586
Sentiment,t+30,LinearRegression,validation,37626.686699734804,34507.55078125,47.22949981689453
Sentiment,t+30,LinearRegression,test,61846.114057392486,60640.59765625,58.94270706176758
Sentiment,t+30,RandomForest,validation,37591.61244284659,34509.564549790164,47.26494755944939
Sentiment,t+30,RandomForest,test,61648.40134261331,60438.94479791929,58.74173857145253
Sentiment,t+30,LSTM,validation,37523.249326251054,34953.88671875,48.14291763305664
Sentiment,t+30,LSTM,test,61085.51278331058,59864.6796875,58.16944885253906
Combined,t+1,LinearRegression,validation,1954.032817022273,1404.9483642578125,2.110917806625366
Combined,t+1,LinearRegression,test,2483.5299474739577,1978.0384521484375,1.945181965827942
Combined,t+1,RandomForest,validation,12524.906790918609,6717.618403340199,8.119174598242772
Combined,t+1,RandomForest,test,40358.25231889075,38670.72164451645,36.791569064011945
Combined,t+1,LSTM,validation,11541.03669520204,6653.25390625,8.34494400024414
Combined,t+1,LSTM,test,37940.88707450051,36115.69921875,34.26771545410156
Combined,t+30,LinearRegression,validation,19016.571299790085,16209.013671875,21.937410354614258
Combined,t+30,LinearRegression,test,28352.44130582056,26775.560546875,25.86696434020996
Combined,t+30,RandomForest,validation,27818.44613183684,23165.569050519392,30.18355623769787
Combined,t+30,RandomForest,test,55700.45816531709,54437.67599917266,52.81537968027787
Combined,t+30,LSTM,validation,25336.511519938966,20947.966796875,27.158567428588867
Combined,t+30,LSTM,test,51973.06871832757,50397.70703125,48.67535400390625
